id,title_zh,title_original,author,year,category,copyright_status,resource_name,resource_url,resource_note,why
19,乌托邦,Utopia,托马斯·莫尔,1516,政治与想象,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/2130,公版入口。,训练制度想象力，理解理想社会与现实政治的张力。
20,瓦尔登湖,Walden,亨利·戴维·梭罗,1854,生活与自然,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/205,公版入口。,关于简单生活、独立精神、自然和现代性反思的经典。
21,伊利亚特,The Iliad,荷马,古希腊,文学与史诗,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/6130,公版英译入口。,西方史诗传统、英雄伦理和战争叙事的源头之一。
22,奥德赛,The Odyssey,荷马,古希腊,文学与史诗,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/1727,公版英译入口。,关于归乡、冒险、身份和智慧的叙事母题源头。
23,神曲,The Divine Comedy,但丁,1321,文学与精神,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/1000,公版入口。,中世纪世界观、宗教想象和文学结构的高峰。
24,哈姆雷特,Hamlet,莎士比亚,约1601,文学与人性,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/1524,公版入口。,现代主体、犹疑、复仇和命运感的经典戏剧。
25,浮士德,Faust,歌德,1808/1832,文学与现代性,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/14591,公版入口。,关于求知、欲望、交易和现代精神危机的代表作。
26,堂吉诃德,Don Quixote,塞万提斯,1605/1615,文学与现代小说,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/996,公版入口。,现代小说的重要开端，讨论理想、幻觉和现实冲突。
27,傲慢与偏见,Pride and Prejudice,简·奥斯丁,1813,文学与社会,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/1342,公版入口。,社会阶层、婚姻、误判与人格成长的经典小说。
28,双城记,A Tale of Two Cities,查尔斯·狄更斯,1859,文学与历史,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/98,公版入口。,以法国大革命为背景理解历史巨变、牺牲和社会情绪。
29,悲惨世界,Les Misérables,维克多·雨果,1862,文学与社会,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/135,公版入口。,把个人命运、法律、贫困、革命与救赎联成宏大结构。
30,战争与和平,War and Peace,列夫·托尔斯泰,1869,文学与历史,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/2600,公版入口。,历史、家庭、战争、自由意志和社会复杂性的巨著。
31,安娜·卡列尼娜,Anna Karenina,列夫·托尔斯泰,1878,文学与人生,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/1399,公版入口。,婚姻、欲望、社会评价和人生道路的深层小说。
32,罪与罚,Crime and Punishment,陀思妥耶夫斯基,1866,文学与心理,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/2554,公版入口。,罪、良知、理性化和救赎心理的极致文本。
33,卡拉马佐夫兄弟,The Brothers Karamazov,陀思妥耶夫斯基,1880,文学与信仰,public_domain_translation,Project Gutenberg,https://www.gutenberg.org/ebooks/28054,公版入口。,信仰、自由、父子、罪责与现代精神困境的综合小说。
34,白鲸,Moby-Dick,赫尔曼·梅尔维尔,1851,文学与象征,public_domain,Project Gutenberg,https://www.gutenberg.org/ebooks/2701,公版入口。,执念、自然、资本、命运和象征系统的复杂小说。
35,红楼梦,Dream of the Red Chamber,曹雪芹、高鹗,18世纪,中国文学,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/紅樓夢,古籍原文入口；现代校注版权需核验。,中国小说高峰，理解家族、命运、情感和制度衰败。
36,西游记,Journey to the West,吴承恩,16世纪,中国文学,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/西遊記,古籍原文入口；现代整理版权需核验。,神魔小说、修行叙事、团队结构和中国想象力代表作。
37,三国演义,Romance of the Three Kingdoms,罗贯中,14世纪,中国文学与战略,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/三國演義,古籍原文入口；现代整理版权需核验。,权谋、联盟、战略、历史叙事和组织兴衰的经典。
38,水浒传,Water Margin,施耐庵,14世纪,中国文学与社会,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/水滸傳,古籍原文入口；现代整理版权需核验。,江湖、秩序、反叛、暴力和群体组织的复杂文本。
39,史记,Records of the Grand Historian,司马迁,约前91,历史与人物,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/史記,古籍原文入口；现代点校和译注版权需核验。,纪传体史学源头，训练历史、人物和制度的综合判断。
40,诗经,Book of Songs,佚名,西周至春秋,诗歌与文明,public_domain_original,Wikisource,https://zh.wikisource.org/wiki/詩經,古籍原文入口；现代注释版权需核验。,中国诗歌、礼乐、民情和政治表达的源头文本。
41,百年孤独,One Hundred Years of Solitude,加西亚·马尔克斯,1967,现代文学,copyrighted,Open Library search,https://openlibrary.org/search?q=One+Hundred+Years+of+Solitude+Gabriel+Garcia+Marquez,受版权保护，不上传全文；只提供合法检索入口。,魔幻现实主义和现代拉美历史想象的代表作。
42,活着,To Live,余华,1993,现代文学,copyrighted,Open Library search,https://openlibrary.org/search?q=%E6%B4%BB%E7%9D%80+%E4%BD%99%E5%8D%8E,受版权保护，不上传全文；只提供合法检索入口。,用极简叙事写苦难、生命韧性和历史冲击。
43,小王子,The Little Prince,安托万·德·圣-埃克苏佩里,1943,现代寓言,copyrighted_in_some_jurisdictions,Official site,https://www.thelittleprince.com/,版权状态因国家不同而异；公开仓库不放全文。,用童话形式讨论爱、孤独、责任和看见本质。
44,一九八四,Nineteen Eighty-Four,乔治·奥威尔,1949,政治寓言,copyrighted_in_us,Open Library search,https://openlibrary.org/search?q=Nineteen+Eighty-Four+George+Orwell,多地仍受版权保护，公开仓库不放全文。,理解极权、语言控制、监控社会和思想改造的经典。
45,动物农场,Animal Farm,乔治·奥威尔,1945,政治寓言,copyrighted_in_us,Open Library search,https://openlibrary.org/search?q=Animal+Farm+George+Orwell,多地仍受版权保护，公开仓库不放全文。,用寓言形式讨论革命、权力异化和宣传机制。
46,局外人,The Stranger,阿尔贝·加缪,1942,现代文学与存在主义,copyrighted,Open Library search,https://openlibrary.org/search?q=The+Stranger+Albert+Camus,受版权保护，不上传全文。,理解荒诞、现代主体和社会审判的重要小说。
47,人类简史,Sapiens,尤瓦尔·赫拉利,2011,历史与认知,copyrighted,Official author page,https://www.ynharari.com/book/sapiens-2/,受版权保护，不上传全文。,用宏观叙事理解人类协作、虚构秩序和现代社会。
48,思考，快与慢,"Thinking, Fast and Slow",丹尼尔·卡尼曼,2011,心理与决策,copyrighted,Google Books metadata,https://books.google.com/books/about/Thinking_Fast_and_Slow.html?id=YGPzXWanppcC,受版权保护，不上传全文。,理解系统1/系统2、偏差、判断和行为决策的核心书。
49,影响力,Influence,罗伯特·西奥迪尼,1984,心理与社会影响,copyrighted,Publisher page,https://www.harpercollins.com/products/influence-robert-b-cialdini,受版权保护，不上传全文。,理解说服、社会影响和行为触发机制的应用经典。
50,穷查理宝典,Poor Charlie's Almanack,查理·芒格,2005,投资与思维模型,copyrighted,Official publisher page,https://www.stripe.press/poor-charlies-almanack,受版权保护，不上传全文。,多学科思维模型、判断错误和长期主义的实践读本。
